Invoice_ID,Customer_Type,Gender,store_id,store_location,Product_Line,Unit_Price,Quantity,Cost_of_Goods_Sold_without_tax,Tax 5%,Total_Cost,Gross_Profit,Payment_Mode,order_date,order_Month,order_Day,order_Time,order_Day_Time,Rating,Rating_Type
120-06-4233,Normal,Male,C,Naypyitaw,Electronic accessories,30.6,6,183.7,9.18,192.84,9,Cash,3/12/2019,March,Tuesday,8:36:00 PM,Night,9.3,Very Good
285-68-5083,Member,Female,C,Naypyitaw,Sports and travel,24.7,3,74.2,3.71,77.93,4,Credit card,2/15/2019,February,Friday,5:47:00 PM,Evening,10,Very Good
803-83-5989,Normal,Male,C,Naypyitaw,Home and lifestyle,55.7,6,334.4,16.72,351.1,17,Ewallet,2/24/2019,February,Sunday,10:55:00 AM,Morning,7,Good
347-34-2234,Member,Female,B,Mandalay,Sports and travel,55.1,9,495.6,24.78,520.41,25,Ewallet,2/3/2019,February,Sunday,1:40:00 PM,Afternoon,10,Very Good
199-75-8169,Member,Male,A,Yangon,Sports and travel,15.8,10,158.1,7.9,166,8,Credit card,3/6/2019,March,Wednesday,12:27:00 PM,Afternoon,8.6,Very Good
853-23-2453,Member,Male,B,Mandalay,Health and beauty,75.7,4,303,15.15,318.11,15,Cash,2/14/2019,February,Thursday,2:35:00 PM,Afternoon,7.6,Good
877-22-3308,Member,Male,A,Yangon,Health and beauty,15.9,10,158.7,7.94,166.64,8,Cash,3/13/2019,March,Wednesday,4:40:00 PM,Evening,5.8,Average
838-78-4295,Normal,Female,C,Naypyitaw,Health and beauty,33.5,2,66.9,3.35,70.29,3,Ewallet,2/10/2019,February,Sunday,3:43:00 PM,Afternoon,6.7,Good
109-28-2512,Member,Female,B,Mandalay,Fashion accessories,97.6,6,585.7,29.28,614.94,29,Ewallet,1/7/2019,January,Monday,3:01:00 PM,Afternoon,9.9,Very Good
232-11-3025,Normal,Male,A,Yangon,Sports and travel,78.8,10,787.7,39.38,827.08,39,Cash,1/24/2019,January,Thursday,10:04:00 AM,Morning,6.4,Good
382-03-4532,Member,Female,A,Yangon,Health and beauty,18.3,1,18.3,0.92,19.25,1,Cash,2/2/2019,February,Saturday,6:50:00 PM,Evening,4.3,Average
393-65-2792,Normal,Male,C,Naypyitaw,Food and beverages,89.5,10,894.8,44.74,939.54,45,Credit card,1/6/2019,January,Sunday,12:46:00 PM,Afternoon,9.6,Very Good
796-12-2025,Normal,Male,C,Naypyitaw,Fashion accessories,62.1,10,621.2,31.06,652.26,31,Cash,2/11/2019,February,Monday,4:19:00 PM,Evening,5.9,Average
510-95-6347,Member,Female,B,Mandalay,Food and beverages,48.5,3,145.6,7.28,152.84,7,Ewallet,3/5/2019,March,Tuesday,6:17:00 PM,Evening,4,Average
841-35-6630,Normal,Female,C,Naypyitaw,Electronic accessories,75.9,6,455.5,22.77,478.23,23,Cash,3/9/2019,March,Saturday,6:21:00 PM,Evening,8.7,Very Good
287-21-9091,Normal,Male,A,Yangon,Home and lifestyle,74.7,9,672,33.6,705.63,34,Ewallet,1/22/2019,January,Tuesday,10:55:00 AM,Morning,9.4,Very Good
732-94-0499,Normal,Female,C,Naypyitaw,Electronic accessories,41.6,10,416.5,20.82,437.32,21,Credit card,1/13/2019,January,Sunday,5:04:00 PM,Evening,5.4,Average
263-10-3913,Member,Male,C,Naypyitaw,Fashion accessories,49,9,441.4,22.07,463.43,22,Credit card,1/9/2019,January,Wednesday,2:20:00 PM,Afternoon,8.6,Very Good
381-20-0914,Member,Female,A,Yangon,Fashion accessories,20,9,180.1,9,189.09,9,Credit card,1/12/2019,January,Saturday,3:48:00 PM,Afternoon,5.7,Average
829-49-1914,Member,Female,C,Naypyitaw,Food and beverages,78.3,10,783.1,39.16,822.26,39,Ewallet,3/5/2019,March,Tuesday,4:24:00 PM,Evening,6.6,Good
756-01-7507,Normal,Female,C,Naypyitaw,Health and beauty,20.4,5,101.9,5.1,107,5,Cash,1/22/2019,January,Tuesday,6:56:00 PM,Evening,6,Good
870-72-4431,Normal,Female,C,Naypyitaw,Health and beauty,99.2,6,595.1,29.76,624.9,30,Credit card,1/21/2019,January,Monday,2:42:00 PM,Afternoon,5.5,Average
847-38-7188,Normal,Female,B,Mandalay,Food and beverages,96.7,3,290,14.5,304.54,15,Ewallet,1/26/2019,January,Saturday,7:56:00 PM,Evening,6.4,Good
480-63-2856,Normal,Male,C,Naypyitaw,Food and beverages,19.2,8,154,7.7,161.7,8,Ewallet,1/23/2019,January,Wednesday,6:37:00 PM,Evening,6.6,Good
787-56-0757,Member,Female,C,Naypyitaw,Food and beverages,80.4,4,321.4,16.07,337.51,16,Credit card,2/23/2019,February,Saturday,6:45:00 PM,Evening,8.3,Very Good
360-39-5055,Member,Male,C,Naypyitaw,Sports and travel,48.9,5,244.6,12.23,256.78,12,Cash,3/9/2019,March,Saturday,10:17:00 AM,Morning,6.6,Good
730-50-9884,Normal,Female,C,Naypyitaw,Sports and travel,83.1,7,581.4,29.07,610.49,29,Ewallet,3/5/2019,March,Tuesday,2:31:00 PM,Afternoon,4,Average
362-58-8315,Normal,Male,C,Naypyitaw,Fashion accessories,76.5,5,382.6,19.13,401.73,19,Cash,3/25/2019,March,Monday,10:23:00 AM,Morning,9.9,Very Good
633-44-8566,Member,Male,A,Yangon,Food and beverages,49.4,7,345.7,17.28,362.94,17,Credit card,3/27/2019,March,Wednesday,8:35:00 PM,Night,7.3,Good
504-35-8843,Normal,Male,A,Yangon,Sports and travel,42.5,1,42.5,2.12,44.59,2,Cash,1/2/2019,January,Wednesday,4:57:00 PM,Evening,5.7,Average
318-68-5053,Normal,Female,B,Mandalay,Health and beauty,77,6,461.9,23.1,485.04,23,Cash,2/27/2019,February,Wednesday,5:55:00 PM,Evening,6.1,Good
565-80-5980,Member,Female,C,Naypyitaw,Home and lifestyle,47.4,4,189.5,9.48,199,9,Cash,1/23/2019,January,Wednesday,10:25:00 AM,Morning,7.1,Good
225-32-0908,Normal,Female,C,Naypyitaw,Sports and travel,44.9,10,448.6,22.43,471.03,22,Ewallet,1/26/2019,January,Saturday,7:54:00 PM,Evening,8.2,Very Good
873-51-0671,Member,Female,A,Yangon,Sports and travel,22,7,153.9,7.69,161.55,8,Ewallet,1/10/2019,January,Thursday,4:42:00 PM,Evening,5.1,Average
152-08-9985,Member,Male,B,Mandalay,Health and beauty,64.4,9,579.2,28.96,608.2,29,Credit card,3/12/2019,March,Tuesday,12:09:00 PM,Afternoon,8.6,Very Good
512-91-0811,Normal,Male,C,Naypyitaw,Health and beauty,89.8,1,89.8,4.49,94.24,4,Credit card,2/6/2019,February,Wednesday,8:05:00 PM,Night,6.6,Good
594-34-4444,Normal,Male,A,Yangon,Electronic accessories,97.2,1,97.2,4.86,102.02,5,Ewallet,3/8/2019,March,Friday,8:38:00 PM,Night,7.2,Good
766-85-7061,Normal,Male,B,Mandalay,Health and beauty,87.9,10,878.7,43.94,922.64,44,Ewallet,3/29/2019,March,Friday,10:25:00 AM,Morning,5.1,Average
871-39-9221,Normal,Female,C,Naypyitaw,Electronic accessories,12.4,6,74.7,3.74,78.44,4,Cash,2/9/2019,February,Saturday,1:11:00 PM,Afternoon,4.1,Average
865-92-6136,Normal,Male,A,Yangon,Food and beverages,52.8,3,158.2,7.91,166.16,8,Ewallet,3/23/2019,March,Saturday,10:16:00 AM,Morning,9.3,Very Good
733-01-9107,Normal,Male,B,Mandalay,Home and lifestyle,82.7,6,496.2,24.81,521.01,25,Cash,3/5/2019,March,Tuesday,6:14:00 PM,Evening,7.4,Good
163-56-7055,Member,Male,C,Naypyitaw,Fashion accessories,48.7,1,48.7,2.44,51.15,2,Cash,3/26/2019,March,Tuesday,7:20:00 PM,Evening,4.1,Average
189-98-2939,Normal,Male,C,Naypyitaw,Fashion accessories,78.6,9,707,35.35,742.3,35,Cash,3/1/2019,March,Friday,1:22:00 PM,Afternoon,7.2,Good
551-21-3069,Normal,Female,C,Naypyitaw,Electronic accessories,23.1,9,207.6,10.38,218.01,10,Cash,2/1/2019,February,Friday,11:27:00 AM,Morning,4.9,Average
212-62-1842,Normal,Male,A,Yangon,Food and beverages,58.3,6,349.6,17.48,367.04,17,Cash,3/28/2019,March,Thursday,4:44:00 PM,Evening,9.9,Very Good
716-39-1409,Normal,Male,B,Mandalay,Health and beauty,30.4,7,212.4,10.62,223.07,11,Cash,3/19/2019,March,Tuesday,6:19:00 PM,Evening,8,Very Good
704-48-3927,Member,Male,A,Yangon,Electronic accessories,88.7,10,886.7,44.34,931.04,44,Ewallet,1/12/2019,January,Saturday,2:50:00 PM,Afternoon,7.3,Good
628-34-3388,Normal,Male,C,Naypyitaw,Fashion accessories,27.4,6,164.3,8.21,172.49,8,Credit card,1/5/2019,January,Saturday,8:54:00 PM,Night,7.9,Good
630-74-5166,Normal,Male,A,Yangon,Sports and travel,62.1,6,372.8,18.64,391.42,19,Cash,3/22/2019,March,Friday,8:19:00 PM,Night,7.4,Good
588-01-7461,Normal,Female,C,Naypyitaw,Food and beverages,34,9,305.8,15.29,321.11,15,Cash,3/24/2019,March,Sunday,10:43:00 AM,Morning,4.2,Average
861-77-0145,Member,Male,C,Naypyitaw,Electronic accessories,82,10,819.7,40.98,860.68,41,Cash,3/3/2019,March,Sunday,2:30:00 PM,Afternoon,9.2,Very Good
479-26-8945,Member,Female,B,Mandalay,Sports and travel,16.5,2,33,1.65,34.63,2,Ewallet,2/5/2019,February,Tuesday,11:32:00 AM,Morning,4.6,Average
210-67-5886,Member,Female,C,Naypyitaw,Health and beauty,98.2,3,294.6,14.73,309.36,15,Credit card,2/5/2019,February,Tuesday,10:41:00 AM,Morning,7.8,Good
227-78-1148,Normal,Female,B,Mandalay,Fashion accessories,72.8,7,509.9,25.49,535.37,25,Cash,2/15/2019,February,Friday,12:44:00 PM,Afternoon,8.4,Very Good
645-44-1170,Member,Male,A,Yangon,Home and lifestyle,58.1,9,522.6,26.13,548.76,26,Ewallet,1/19/2019,January,Saturday,8:07:00 PM,Night,4.3,Average
237-01-6122,Member,Female,C,Naypyitaw,Home and lifestyle,80.8,9,727.1,36.36,763.47,36,Credit card,2/1/2019,February,Friday,8:31:00 PM,Night,9.5,Very Good
225-98-1496,Normal,Female,C,Naypyitaw,Fashion accessories,27,3,81.1,4.05,85.11,4,Credit card,3/2/2019,March,Saturday,1:01:00 PM,Afternoon,7.1,Good
291-32-1427,Member,Male,B,Mandalay,Fashion accessories,21.9,5,109.7,5.48,115.18,5,Ewallet,3/5/2019,March,Tuesday,12:29:00 PM,Afternoon,5.3,Average
659-65-8956,Member,Male,B,Mandalay,Fashion accessories,51.4,1,51.4,2.57,53.93,3,Ewallet,1/16/2019,January,Wednesday,3:26:00 PM,Afternoon,5.2,Average
642-32-2990,Normal,Female,A,Yangon,Food and beverages,11,10,109.6,5.48,115.08,5,Ewallet,2/2/2019,February,Saturday,8:48:00 PM,Night,6,Good
378-24-2715,Normal,Male,B,Mandalay,Home and lifestyle,53.4,2,106.9,5.34,112.22,5,Ewallet,1/20/2019,January,Sunday,8:38:00 PM,Night,4.1,Average
638-60-7125,Normal,Female,A,Yangon,Electronic accessories,99.6,8,796.5,39.82,836.3,40,Credit card,2/14/2019,February,Thursday,5:03:00 PM,Evening,5.2,Average
659-36-1684,Member,Male,C,Naypyitaw,Sports and travel,57.1,7,399.8,19.99,419.83,20,Credit card,1/12/2019,January,Saturday,12:02:00 PM,Afternoon,6.5,Good
219-22-9386,Member,Male,B,Mandalay,Sports and travel,100,9,899.6,44.98,944.62,45,Credit card,3/9/2019,March,Saturday,5:26:00 PM,Evening,4.2,Average
336-78-2147,Member,Male,C,Naypyitaw,Home and lifestyle,63.9,8,511.3,25.56,536.84,26,Credit card,3/13/2019,March,Wednesday,7:52:00 PM,Evening,4.6,Average
268-27-6179,Member,Female,B,Mandalay,Fashion accessories,56.5,8,451.8,22.59,474.35,23,Ewallet,3/9/2019,March,Saturday,2:57:00 PM,Afternoon,7.3,Good
668-90-8900,Normal,Female,A,Yangon,Home and lifestyle,93.7,7,655.8,32.79,688.62,33,Credit card,3/10/2019,March,Sunday,6:44:00 PM,Evening,4.5,Average
870-54-3162,Normal,Female,A,Yangon,Sports and travel,32.2,5,161.2,8.06,169.31,8,Cash,1/27/2019,January,Sunday,1:26:00 PM,Afternoon,9,Very Good
189-08-9157,Normal,Female,C,Naypyitaw,Fashion accessories,31.7,9,285.6,14.28,299.85,14,Credit card,1/8/2019,January,Tuesday,4:17:00 PM,Evening,5.9,Average
663-86-9076,Member,Female,C,Naypyitaw,Food and beverages,68.5,8,548.3,27.42,575.74,27,Ewallet,1/8/2019,January,Tuesday,3:57:00 PM,Afternoon,8.5,Very Good
549-84-7482,Normal,Female,B,Mandalay,Sports and travel,90.3,9,812.5,40.63,853.15,41,Ewallet,2/8/2019,February,Friday,11:15:00 AM,Morning,7.2,Good
191-10-6171,Normal,Female,B,Mandalay,Fashion accessories,39.6,7,277.3,13.87,291.21,14,Cash,1/25/2019,January,Friday,1:18:00 PM,Afternoon,7.5,Good
802-70-5316,Member,Female,A,Yangon,Sports and travel,92.1,6,552.8,27.64,580.42,28,Cash,3/6/2019,March,Wednesday,8:34:00 PM,Night,8.3,Very Good
695-51-0018,Normal,Female,B,Mandalay,Sports and travel,34.8,4,139.4,6.97,146.33,7,Cash,2/10/2019,February,Sunday,6:36:00 PM,Evening,7.4,Good
590-83-4591,Member,Male,B,Mandalay,Electronic accessories,87.4,6,524.7,26.24,550.93,26,Credit card,2/17/2019,February,Sunday,2:40:00 PM,Afternoon,8.8,Very Good
483-71-1164,Normal,Female,C,Naypyitaw,Health and beauty,81.3,6,487.8,24.39,512.19,24,Ewallet,3/8/2019,March,Friday,4:43:00 PM,Evening,5.3,Average
597-78-7908,Normal,Male,C,Naypyitaw,Fashion accessories,90.2,3,270.7,13.53,284.19,14,Cash,2/18/2019,February,Monday,7:39:00 PM,Evening,6.2,Good
700-81-1757,Normal,Female,A,Yangon,Electronic accessories,26.3,5,131.6,6.58,138.13,7,Credit card,1/18/2019,January,Friday,8:59:00 PM,Night,8.8,Very Good
354-39-5160,Member,Female,A,Yangon,Home and lifestyle,34.4,6,206.5,10.33,216.85,10,Cash,2/18/2019,February,Monday,3:39:00 PM,Afternoon,9.8,Very Good
241-72-9525,Normal,Male,B,Mandalay,Sports and travel,51.9,10,519.1,25.96,545.05,26,Cash,2/16/2019,February,Saturday,12:21:00 PM,Afternoon,8.2,Very Good
575-30-8091,Normal,Male,A,Yangon,Sports and travel,72.5,8,580,29,609,29,Ewallet,3/16/2019,March,Saturday,7:25:00 PM,Evening,9.2,Very Good
731-81-9469,Member,Female,C,Naypyitaw,Sports and travel,89.8,10,898,44.9,942.9,45,Credit card,1/23/2019,January,Wednesday,1:00:00 PM,Afternoon,5.4,Average
280-17-4359,Member,Male,C,Naypyitaw,Health and beauty,90.5,10,905,45.25,950.25,45,Cash,1/25/2019,January,Friday,1:48:00 PM,Afternoon,8.1,Very Good
338-65-2210,Member,Female,C,Naypyitaw,Health and beauty,68.6,10,686,34.3,720.3,34,Cash,2/5/2019,February,Tuesday,7:57:00 PM,Evening,9.1,Very Good
488-25-4221,Member,Female,C,Naypyitaw,Food and beverages,30.4,1,30.4,1.52,31.93,2,Credit card,2/22/2019,February,Friday,10:36:00 AM,Morning,8.4,Very Good
239-10-7476,Normal,Female,A,Yangon,Home and lifestyle,78,6,467.7,23.38,491.08,23,Ewallet,1/21/2019,January,Monday,4:37:00 PM,Evening,8,Very Good
458-41-1477,Normal,Female,C,Naypyitaw,Health and beauty,46.3,6,277.6,13.88,291.44,14,Credit card,3/8/2019,March,Friday,5:11:00 PM,Evening,9.5,Very Good
685-64-1609,Member,Female,A,Yangon,Fashion accessories,30.1,10,301.4,15.07,316.47,15,Ewallet,2/10/2019,February,Sunday,12:28:00 PM,Afternoon,9.2,Very Good
568-90-5112,Normal,Male,C,Naypyitaw,Health and beauty,66.1,4,264.6,13.23,277.79,13,Credit card,3/19/2019,March,Tuesday,12:46:00 PM,Afternoon,5.6,Average
262-47-2794,Member,Male,B,Mandalay,Home and lifestyle,71.9,8,574.9,28.74,603.62,29,Credit card,3/6/2019,March,Wednesday,3:07:00 PM,Afternoon,6.2,Good
238-49-0436,Normal,Male,A,Yangon,Health and beauty,32.5,8,259.7,12.98,272.66,13,Credit card,3/27/2019,March,Wednesday,1:48:00 PM,Afternoon,4.9,Average
608-96-3517,Member,Female,B,Mandalay,Fashion accessories,91.5,4,366.2,18.31,384.47,18,Credit card,3/23/2019,March,Saturday,7:20:00 PM,Evening,4.8,Average
584-86-7256,Member,Male,C,Naypyitaw,Sports and travel,34.6,7,241.9,12.1,254.02,12,Credit card,3/11/2019,March,Monday,4:07:00 PM,Evening,7.3,Good
746-94-0204,Normal,Male,A,Yangon,Fashion accessories,83.2,9,749.2,37.46,786.62,37,Credit card,1/29/2019,January,Tuesday,11:56:00 AM,Morning,7.4,Good
214-17-6927,Normal,Female,C,Naypyitaw,Food and beverages,16.5,6,98.9,4.94,103.82,5,Ewallet,2/7/2019,February,Thursday,6:23:00 PM,Evening,9.9,Very Good
